null|Blooming Buds|Bethania English School Marathamcode Vellithuruthy Kunnamkulam Thrissur Kerala|N/A|KL|680604|null|Mr. Lalitha S Iyer|04885 227657|Principal|principal@bbbethania.org|Asia/Kolkata|IN
null|Blue Mount Public School|Thonnakkal Thiruvananthapuram Kerala|N/A|KL|695317|null|Mrs Jayalakshmi S|0471 2618251|Principal|daljeet@nde.vsnl.net.in|Asia/Kolkata|IN
null|Brook International School|Rajagiri Sasthamcotta Kollam Distt Kerala|N/A|KL|690521|null|Sheeji|0476 2831999|Principal|jvsss@yahoo.com|Asia/Kolkata|IN
null|C H Mohammed Koya Memorial School|Hill Top Seorambail Kumbla Kasargod Distt Kerala|N/A|KL|671321|null|Sunil Kumar K C|04998 245693|Principal|gyansthaliacademy_auraiya1@rediffmail.com|Asia/Kolkata|IN
null|C K M N S S Senior Secondary School|R B Road Chalakudy P.O Trichur Dist. Kerala|N/A|KL|680307|null|Mr. C.V.Abraham|0480 2701690|Principal|info@ckmnss.com|Asia/Kolkata|IN
null|C.S.I.W.F Central School|Medical College Campus, Karakonam, Thiruvananthapuram|N/A|KL|695504|null|Komala Kumari.K|0471-2253236|Principal|hepzigladstone@yahoo.com|Asia/Kolkata|IN
null|Campion School|Changampuzha Cross Road Edapally Cochin Cochin Kerala|N/A|KL|682024|null|Mrs Leelamma Thomas|0484 347613|Principal|campion@md2.vsnl.net.in|Asia/Kolkata|IN
null|Canadian Central School|Karakkunnam,Puthuppady P.O,Muvattupuzha|N/A|KL|686673|null|Mr.Alexander M.C|0485-2815491|Principal|office@canadianccs.com|Asia/Kolkata|IN
null|Carmel Central School|Valappad Distt Thrissur Kerala|N/A|KL|680567|null|Miss Sr. Jeslin|0487 2398102|Principal|carmel.valapad@gmail.com|Asia/Kolkata|IN
null|Carmel Cmi Public School, Puliyanmala|Carmel Hills, Puliyanmala, Idukki 685511|N/A|KL|685515|null|Mr.Fr.Tom Jose Pandiappallil Cmi|04868270106|Principal|carmelplma@gmail.com|Asia/Kolkata|IN
null|Carmel Convent Eng Med School|Thadiyoor Kolabhagam Po Palakunnu Kerala|N/A|KL|689612|null|Mr. Sister Agnes Cmc|0469 2671144|Principal|carmeltdyr1@yahoo.com|Asia/Kolkata|IN
null|Carmel Public School|Pala Kottayam Meenachil Kerala|N/A|KL|686575|null|Sr Mary Kutty S|04822 213511|Principal|fashionfabs@dataone.in|Asia/Kolkata|IN
null|Carmel Residential School|Kadalavila Mellikkunnam Po Kotarakkara Kollam Distt Kerala|N/A|KL|691605|null|Ms Jaya Sree C R|0474 2454829|Principal|daljeet@nde.vsnl.net.in|Asia/Kolkata|IN
null|Carmel School|Thycaud, Thiruvnanthapuram|N/A|KL|695014|null|Rachel V.K|04712327025|Principal|carmelthycaud@gmail.com|Asia/Kolkata|IN
null|Carmelagiri Pub School|Koradakad Mattupputty- Po Munar Idukki Distt Kerala|N/A|KL|686616|null|Mr. Fr. John Mathew|048652 30173|Principal|mail@carmelagiri.com|Asia/Kolkata|IN
null|Carmelgiri English Med School|Thalanji Pookottumanna Distt Malappuram Kerala|N/A|KL|679334|null|Miss Sr. Asha P P|04931 230193230595|Principal|carmelgiri2004@rediffmail.com|Asia/Kolkata|IN
null|Chavara Darshan Cmi Public School|Koonammavu Ernakulam Distt Kerala|N/A|KL|683518|null|Mrs Neena George|0484 3942846|Principal|soscvi@giasdl01.vsnl.net.in|Asia/Kolkata|IN
null|Chavara Pub.School|Pala P.O. Kottayam Distt Kerala|N/A|KL|686575|null|Fr Sebastian Elanjicral|0482 216191|Principal|nalanda.manchar@gmail.com|Asia/Kolkata|IN
null|Chelakkara Central School|Chelakkara Central School,Thonoorkara,Thrissur - 680610.|N/A|KL|680610|null|Vilasini Amma|04884-251493|Principal|ccschool@yahoo.com.in|Asia/Kolkata|IN
null|Cherpalcheri Eng. Med Central School|Cherpalcheri Post Palakkad Distt. Kerala|N/A|KL|679503|null|Mr. Dais K. Mathew|0466 2282498|Principal|cpcemcs@bsnl.in|Asia/Kolkata|IN
null|Cherupushpa Bethany School|Pb No1 Chunna Kkara Po Alappuzha Distt Kerala|N/A|KL|690534|null|Mr. Fr Ignatius George Oic|0479 2378081|Principal|bethany_cpushpa@yahoo.com|Asia/Kolkata|IN
null|Cherupushpa Central School|Ayoor P.O, Pin-691533|N/A|KL|691533|null|Rev.Fr.Rajan V.T|0475-2294122|Principal|cherupushpaschool@yahoo.com|Asia/Kolkata|IN
null|Cherupushpam English Medium School|Cherupushpam English Medium School, Umayanalloor, Kollam - 691589|N/A|KL|691589|null|Mrs.Hilda Joseph|04742535010|Principal|cherupushpamklm@gmail.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Kattiparambu Kalathora Road Kannamely Po Kochi Ernakulam Distt Kerala|N/A|KL|682008|null|Mr. Thankachan.C|0484 2294881|Principal|edenps@sify.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Nileshwar Kasaragod Distt Kerala|N/A|KL|671314|null|Miss Rajni K|0495 2244581|Principal|davpsmma@vsnl.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Payyanur Kannur Kerala|N/A|KL|670307|null|Mrs. Vimala Ravindran|04985 207910|Principal|chinmayapnr@yahoo.co.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Illickal Kottayam Kottayam Kerala|N/A|KL|686005|null|Mrs. Geetha Devi Varma|0481 2380242|Principal|chinmaya_ktm@asianetindia.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Chengannur P O Thittamel Alpuzha District Kerala|N/A|KL|689121|null|Malini S V|0479 455053|Principal|mail@carmelagiri.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Chinmaya Gardens Kolazhy P.O. Thrissur Kerala|N/A|KL|680010|null|Shobhana Devadas|0487 200439|Principal|chinvidhya@sanchernet.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Vaduthala Ernakulam Cochin Cochin|N/A|KL|682023|null|Mrs. Maya Mohan|0484 2402861|Principal|miphy@rediffmail.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Pallavur P.O Palghat Dist. Kerala|N/A|KL|678688|null|Giribala Menon|0492 234262|Principal|chinmayapallavur@hotmail.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Layam Road Tripunithura Ernakulam Distt Kerala|N/A|KL|682301|null|V Ganesan|0484 777684|Principal|saturn_graphics@hotmail.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Vellapally, Naruvamood Trivandrum|N/A|KL|695020|null|Jayanthi G|04712401587|Principal|chintvm@sify.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Kollengode P.O Palakkad Dist Kerala|N/A|KL|678506|null|Mrs O Vageeswari|0492 362459|Principal|dhanjay@md2.vsnl.net.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Cannanore Kerala 670001|N/A|KL|670001|null|Mrs. Sugeetha|0497 2700876|Principal|cnn_chinbala@sancharnet.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Manacaud - Attukal Thiruvananthapuram Kerala|N/A|KL|695009|null|N Sreedharan Pandarathil|0471 455692|Principal|faipsdps@qyalitynet.net|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Kalarcode Sanathanapuram Post Alappuzha Kerala|N/A|KL|688003|null|D Radhamaniamma|0477 252840|Principal|shrinat@giasmd01.vsnl.net.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Taliparamba Kannur District Kerala|N/A|KL|670141|null|Prof M P Lakshmanan|0498 203248|Principal|chinbala@md3.vsnl.net.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Athiyamboor Kanhangad P.O Kasaragod Dist Kerala|N/A|KL|671315|null|A Gangadharan Nair|0499 704210|Principal|mahindroanita2@gmail.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Western Village Tattamangalam Palakkad Dist Kerala|N/A|KL|678102|null|Mrs Mangala Shankar|0492 327249|Principal|chinmayattm@sanchernet.in|Asia/Kolkata|IN
null|Chinthalaya Vidyalayam|Devancode Mylakkara Po Thiruvananthapuram Distt Kerala|N/A|KL|695572|null|D Sanel Kumar|0471 2273955|Principal|viveka_nal@yahoo.co.in|Asia/Kolkata|IN
null|Christ Cmi Public School|Balla Po Kanhangad Kasargod Distt Kerala|N/A|KL|671531|null|Fr George|0467 2209722|Principal|chinmayattm@sanchernet.in|Asia/Kolkata|IN
null|Christ Nagar Senior Secondary School|Chavarapuram Thiruvallom P.O Trivananathapuram Kerala|N/A|KL|695027|null|Ms Mythily Kesavasamy|0471 383733|Principal|sncsnedungolam@rediffmail.com|Asia/Kolkata|IN
null|Christhujyothi English Medium School|Christhujyothi English Medium ,Kayyoor ,Kottayam, Kerala|N/A|KL|686651|null|Misssabi A Sunny|04822-221263|Principal|christhujyothyschool@ggmail.com|Asia/Kolkata|IN
null|Christhuraja Public School|Chunkapara P.O., Mallappally|N/A|KL|686547|null|Mrs.Jolly P. S.|04692696171|Principal|fr.shajibehanan@yahoo.co.in|Asia/Kolkata|IN
null|Christva Mahilalayam Public School|Thottumugham Po Aluva Distt Ernakulam Kerala|N/A|KL|683105|null|Mr. Elizabeth Abraham|0484 263112|Principal|mahilalayam@gmail.com|Asia/Kolkata|IN
null|Citadel Residential School|Ettichuvadu P.O. Ranny Pathanamthitta Dist. Kerala|N/A|KL|689675|null|Mr. Fr. Denni Thomas|04735 200568|Principal|dennithms@yahoo.co.in|Asia/Kolkata|IN
null|Clemis School|Chingavanam Kottayam Kerala|N/A|KL|686531|null|Mrs.Mariamma M K|0481 430108|Principal|tokyoncc@hotmail.com|Asia/Kolkata|IN
null|Cluny Public School|Lakkattoor Po Kottayam Distt Kerala|N/A|KL|686502|null|Mr. Thresiamma P. J|0481 2543326|Principal|clunypa@yahoo.com|Asia/Kolkata|IN
null|Cluny School|Changanacherry|N/A|KL|686101|null|Leelamma Joseph|04812420148|Principal|clunyschool@gmail.com|Asia/Kolkata|IN
null|Cmi Christ School|Iritty Po Thalassery Kannur Distt Kerala|N/A|KL|670703|null|Fr John P Joseph|0490 2494550|Principal|stpaulpbs@yahoo.com|Asia/Kolkata|IN
null|Cmi Public School|Chalakudy Po Thrissur Distt Kerala|N/A|KL|680307|null|Mr. Fr Urumeese.M.A|0480 2706330|Principal|smundan@gmail.com|Asia/Kolkata|IN
null|Co-Operative Public School|Padukad, Viyyur P.O, Thrissur Dist., Kerala|N/A|KL|680010|null|Komalam P.B|04873292505|Principal|netlinks2@rediffmail.com|Asia/Kolkata|IN
null|Cochin Public School|Pipeline Junction Thrikkakara Kochi Kerala|N/A|KL|682021|null|Mrs. Sathi.N|0484 2575198|Principal|sathimohan08@gmail.com|Asia/Kolkata|IN
null|Cochin Refineries School|Ambalamukal P.O Ernakulam Distt Kerala|N/A|KL|682302|null|Mrs. Dr. K B Sujatha|0484 2823512|Principal|z_kr_school@bharatpetroleum.in|Asia/Kolkata|IN
null|Cooperative Public School, Muvattupuzha|P.O Junction, Muvattupuzha 686 661|N/A|KL|686661|null|Sunillal T.V|04852832111|Principal|sunillaltv@yahoo.com|Asia/Kolkata|IN
null|Crescent Central School|Panangode Po Peringammala Thiruvananthapuram Kerala|N/A|KL|695563|null|T K Mathew|0471 845731|Principal|principal_dpsg@sify.com|Asia/Kolkata|IN
null|Crescent English Medium School|Vadakkancheri, Muyyam(Po), Taliparamba|N/A|KL|670142|null|E.K.Rajamani|07712 04602209089|Principal|crescent_vadakkancheri@rediffmail.com|Asia/Kolkata|IN
null|Crescent Public School|Thottumugham Alwaye Kerala|N/A|KL|683105|null|Mr. Pushpalatha.P|0484 0484262207|Principal|crescentcbseschool@yahoo.com|Asia/Kolkata|IN
null|Crescent Public School|Nh By Pass Road Chalakudy Trichur Kerala|N/A|KL|680307|null|Mrs.Philomia James|0480 2701217|Principal|crescent_ckdy@rediffmail.com|Asia/Kolkata|IN
null|Crescent Public School|Chaliyam Kozhikode Distt Kerala|N/A|KL|673301|null|Sharkathali P|0495 2471313|Principal|himanshu9219@rediff.com|Asia/Kolkata|IN
null|Cross Land Public School|Mavelikkara Kunnam Distt Alappuzha Kerala|N/A|KL|690108|null|Mr. P K Mathews|0479 2301616|Principal|crossland13@yahoo.com|Asia/Kolkata|IN
null|Darul Aman English Medium School|Kalladikode Palakkad Kerala|N/A|KL|678596|null|Rosamma Mathew|0492 446216|Principal|sanjosschool@yahoo.com|Asia/Kolkata|IN
null|Darul Falah English School|Poopalam Malappuram Kerala|N/A|KL|679325|null|A Sabeena Beevi|0493 320680|Principal|bvm_elmk@yahoo.com|Asia/Kolkata|IN
null|Darul Hikam Residential School|Chemmaniyodu (Po) Pattikkadu Via|N/A|KL|679326|null|Kp. Muhammed Mustafa|04933278784|Principal|rasheedmelatur@yahoo.com|Asia/Kolkata|IN
null|Darul Huda English Medium School|Nadapuram Po Kozhikode Distt Kerala|N/A|KL|673504|null|Sh Abdul Salim|0496 255380|Principal|sacredheartkottakkal@cheerful.com|Asia/Kolkata|IN
null|Darul Hudda Endlish Medium School|Parakkadavu|N/A|KL|673509|null|Sh Zubair V.P.|040 2572421|Principal|meridian_society@rediffmail.com|Asia/Kolkata|IN
null|Darul Uloom English School|Kappur P.O. Palakkad District Kerala|N/A|KL|679552|null|Ahmed Hussain|0492 676332|Principal|darululoomsch@yahoo.co.in|Asia/Kolkata|IN
null|Darusalam English Medium School|Pullamkoell Karakurussi Po Palakkad Distt Kerala|N/A|KL|678595|null|Sathya Biaama|04924 244668|Principal|sureshmanoranjini@yahoo.co.in|Asia/Kolkata|IN
null|Darussalam English School|Changaramkulam Kokkur P.O Malappuram Kerala|N/A|KL|679591|null|Mr. N.K.Babu Ibrahim|0494 2651877|Principal|darussalamenglishschoolckm@gmail.co|Asia/Kolkata|IN
null|Darusslam Public School|Darussalam Public School Pallikkara Kumarapuram P O Ernakulam 683565|N/A|KL|683565|null|Mrs.Jill Anna John|04842680116|Principal|dpspallikkara@gmail.com|Asia/Kolkata|IN
null|Dayapuram Residential School|R.E.College P.O Kozhikode Kerala|N/A|KL|673601|null|Mrs. Dr.S.Irene Usha|0495 2287836|Principal|info@dayapuram.org|Asia/Kolkata|IN
null|De Paul Public School|Kalpetta Wayanad Dist. Kerala|N/A|KL|673121|null|T.V. George|0493 603750|Principal|kalpmed@vsnl.com|Asia/Kolkata|IN
null|De Paul Public School|Thodupuzha East P O Iddukki Kerala|N/A|KL|685585|null|Fr Thomas Thekkemury|0486 229155|Principal|thekkemuryvc@hotmail.com|Asia/Kolkata|IN
null|De Paul School|Rajamydi Idukki Kerala|N/A|KL|685604|null|Mr. Fr.Sebastian Painappillil|04868 260392|Principal|info@depaulidukki.com|Asia/Kolkata|IN
null|Delhi International School|Delhi International School Edayur.P.O Valanchery Malappuram District Kerala|N/A|KL|676554|null|Reny James|0484 04942643999|Principal|disvalanchery@yahoo.com|Asia/Kolkata|IN
null|Delta Central School|Aylara-Po, Kollam|N/A|KL|691312|null|Jayasree Mohan|04752288101|Principal|deltacentralschool@gmail.com|Asia/Kolkata|IN
null|Don Bosco Central School|Don Boscocentral School, Puthuppally,Kottayam(Dist),Kerala State -686011|N/A|KL|686011|null|Mr.Fr.George V.L.|0481-2354141 0481-2354151|Principal|vellakadayil@yahoo.co.in|Asia/Kolkata|IN
null|Dr N K Mohamed Memorial Mes Cent.Sch|Dr N K Mohammed Memorial Mes Cent Sc P.O.Valanchery Malappuram District Kerala|N/A|KL|676552|null|Mr. V.R.Jayaprasad|0494 2644755|Principal|vrjayaprasad@gmail.com|Asia/Kolkata|IN
null|Dr. N. International School|Aiswarya Nagar North Paravur|N/A|KL|683513|null|Premi Roy|04842445422|Principal|anithaajith@gmail.com|Asia/Kolkata|IN
null|Dr.G.R. Public School|Ooruttukala Neyyattunkara Thiruvantha Puram|N/A|KL|695121|null|Mr. Hari K|0471 2222310|Principal|drgrps@gmail.com|Asia/Kolkata|IN
null|Dr.Gundert Foundation School|Gundert Foundation School,Main Road,Tellicherry 1|N/A|KL|670101|null|Preetha Valavil|04902326870|Principal|murkot@sancharnet.com|Asia/Kolkata|IN
null|Ebenezer International Res School|Pattithanam Po Ettumanoor Kottayam Distt Kerala|N/A|KL|686631|null|Mr M O Kuriakose|0481 2538741|Principal|ambujapublicschool@ymail.com|Asia/Kolkata|IN
null|Eden Public School|Vazhoor Vazhoor East Po Distt Kottayam Kerala|N/A|KL|686504|null|Mr. Mathew C Chacko|04828 824504835|Principal|edenps@sify.com|Asia/Kolkata|IN
null|Evergreen Public School|Muyippoth Post Meppayyur Koyilandy Kerala|N/A|KL|673524|null|Soman A P|0496 2776277|Principal|stjohnsps@gmail.com|Asia/Kolkata|IN
null|Excelsior English School|Illiekal Kottayam Kottayam West|N/A|KL|686003|null|Shiny Kurien|0481 581833|Principal|excelsior@satyam.net.in|Asia/Kolkata|IN
null|Ezhimala Eng. School|Ettikulam Ramanthali Kannur Distt Kerala|N/A|KL|670308|null|Mrs Sudarshanabai M N|0498 590285|Principal|kalpmed@vsnl.com|Asia/Kolkata|IN
null|Fathima Public School|Punaloor (P.O)|N/A|KL|691305|null|Reghunathan Pillai|04752224922|Principal|fathimaschool@gmail.com|Asia/Kolkata|IN
null|Fatima Central School|Piravom Po Distt Ernakulam Kerala|N/A|KL|686664|null|Philomina M|0485 242203|Principal|sncsnedungolam@rediffmail.com|Asia/Kolkata|IN
null|Fatima Public School|Kottamom, Chengal Village, Thiruvanathapuram|N/A|KL|695122|null|Shaniya Kingsly|0471-2966021|Principal|fathimapublicschool@gmail.com|Asia/Kolkata|IN
null|Fatimagiri Eng School|Nilambur R S Po Malapuram Distt Kerala|N/A|KL|679330|null|Mr. Sr.Rose Thomas A C|04931 224150|Principal|fatimagirinilambur@yahoo.com|Asia/Kolkata|IN
null|Fazi -E Omar Public School|Karulai P O Malappuram Kerala|N/A|KL|679344|null|Mr. Mariyama K Thomas|04931 273095|Principal|fazleomarkarulai@yahoo.com|Asia/Kolkata|IN
null|Fazl-E-Omar Public School|Aduthila|N/A|KL|670303|null|Mini Mithran|04972752656|Principal|fazleomarschool@gmail.com|Asia/Kolkata|IN
null|Floweret English Medium School|A.K.G.Nagar Ulikkal Post, Iritty, Kannur Dist, Kerala|N/A|KL|670705|null|Sr.Magadaline|04602228308|Principal|lfhssbzu@hotmail.com|Asia/Kolkata|IN
null|Fr Mathew Alakolam Public School|Mechira Po Kodassery Chalakudy Thrissur Distt Kerala|N/A|KL|680725|null|Fr Jacob Aekanath|0480 3290920|Principal|rasheed_c2@yahoo.com|Asia/Kolkata|IN
null|Fusco English Medium School|Pooparamba Eruvessy Po Kannur Distt Kerala|N/A|KL|670632|null|Sr Shiny|0498 2212790|Principal|cksasidharan@gmail.com|Asia/Kolkata|IN
null|Gangothri English Medium School|Nemmara Nss College Post Nemmara Palakkad Distt Kerala|N/A|KL|678508|null|Mr. P.S.Prabhakaran|04923 243556|Principal|prabhakaran6213@gmail.com|Asia/Kolkata|IN
null|Gayathri Central School|Thekkummury Puliyanoor Po Kerala|N/A|KL|686573|null|V Unnikrishnan|0482 2206287|Principal|principal@starexinternational.com|Asia/Kolkata|IN
null|Gayathri Central School|South Monkuzhy Pullikannakku P.O Kayamkulam|N/A|KL|690537|null|Leena Shankar|0479-2331398|Principal|principalgayathri.cs@gmail.com|Asia/Kolkata|IN
null|Georgian Public School|Edathua Po Alappuzha Distt Kerala|N/A|KL|689573|null|Mr. Jose Thomas P.|0477 2215852|Principal|gpsedathua@gmail.com|Asia/Kolkata|IN
null|Girijyothi Cmi Public School|Vazhathope Idukki Colony Po Idukki Distt Kerala|N/A|KL|685602|null|Dr Fr Baby Joseph|0486 2235296|Principal|djaidas@rediffmail.com|Asia/Kolkata|IN
null|Global Public School|Oen Jn, Chottanikkara Road, Thiruvaniyoor|N/A|KL|682306|null|Lakshmi Ramachandran|0484-2713746|Principal|mail@globalpublicschool.org|Asia/Kolkata|IN
null|Good Hope Eng Med School|V K Road Nilambur Malapuram Distt Kerala|N/A|KL|679329|null|Mr. M. Aboobacker|04931 221606|Principal|goodhope_school@yahoo.com|Asia/Kolkata|IN
null|Good Shepherd Public School|Thengana Po Changanacherry Kottayam Distt Kerala|N/A|KL|686546|null|K V Paulose|0481 473093|Principal|tokyoncc@hotmail.com|Asia/Kolkata|IN
null|Good Shepherd'S Central School|Mullassery P.O.|N/A|KL|680509|null|Sr. Legeen Simon|0487226701|Principal|goodshepardmullassery@yahoo.com|Asia/Kolkata|IN
null|Grace Central School|Chelakkara Thrissur Dist. Kerala|N/A|KL|680586|null|Mrs. Jessy P Abraham|04884 252130|Principal|gracetrr@sify.com|Asia/Kolkata|IN
null|Grace Garden Public School|Grace Nagar Ayyappancoil Po Iddukki Distt Kerala|N/A|KL|685507|null|Anthony|04869 244947|Principal|dpsmref@gmail.com|Asia/Kolkata|IN
null|Grace Mount Residential School|Kumbanad Po Thiruvalla Pathanamthitta Distt Kerala|N/A|KL|689547|null|Mrs T G Aleyamma|0469 2664772|Principal|principalsdv@yahoo.co.in|Asia/Kolkata|IN
null|Grace Public School|Payyoli Kozhikkode Distt Kerala|N/A|KL|673523|null|Mr. Prabavathi.R|0496 2471002|Principal|prabavathi09@gmail.com|Asia/Kolkata|IN
null|Grace Valley Public School|Maravattam, P.O. Chengottoor, Malappuram Dt, Pin|N/A|KL|N/A|null|Rasheed Karingappara|0494-2616617 2616615|Principal|grace_valley2004@rediffmail.com|Asia/Kolkata|IN
null|Gracious English Medium School|Pavannoormotta(Po), Mayyil, Kannur|N/A|KL|670602|null|M.V. Kunhiraman Nambiar|0474 04602276815|Principal|graciousschool@yahoo.com|Asia/Kolkata|IN
null|Green Valley Pub. School|Nellikuzhi Kothamangalam Kerala|N/A|KL|686691|null|Ansom Babu|0485 526002|Principal|greenvallien@sify.com|Asia/Kolkata|IN
null|Green Valley Public School|Green Valley Campus, P.O.Nellikkaparamba, Mukkam, Kozhikode|N/A|KL|673602|null|Salma Shaheen|04952206132 2504005|Principal|greenvalleycontact@gmail.com|Asia/Kolkata|IN
null|Greets Public School|Ashoka Road Kaloor Cochin Kerala|N/A|KL|682017|null|R Narayana Pillai|0484 531339|Principal|greets@md2.vsnl.net.in|Asia/Kolkata|IN
null|Gregorian Pub School|Gregorian Dale Maradu Tripunithura Kochi Kerala|N/A|KL|682304|null|Thomas J Kappen|0484 305212|Principal|edenps@sify.com|Asia/Kolkata|IN
null|Guardian Angels Public School|The Principal Guardian Angels Public School Manjummel.P.O. Kochi-683501|N/A|KL|683501|null|K.V.Joseph|0484-2557140 0484-2541733|Principal|guardianangelhss@sify.com|Asia/Kolkata|IN
null|Guidance Public School|Po Munda Edakkara Malappuram Distt Kerala|N/A|KL|679331|null|Aboobacker M|04931 276387|Principal|daljeet@nde.vsnl.net.in|Asia/Kolkata|IN
null|Gurukul Mount Public School|Mundukuzhy,Palackathakidi.P.O,Kunnathnam|N/A|KL|689581|null|C.K.George|O468-2692354|Principal|georgechamakala@yahoo.co.in|Asia/Kolkata|IN
null|Gurusree Pub School|Pullut Kodung Allur Distt Thrissur Kerala|N/A|KL|680663|null|Mrs. Sreeja Kishor|0480 2803588|Principal|gurusreepublicschool_kdr@yahoo.co.i|Asia/Kolkata|IN
null|Guruvayur Devaswom Eng.Medium School|Guruvayur P.O Trichur Dist Kerala|N/A|KL|680101|null|Mr. K Santhosh Kumar|0487 2555365|Principal|trc_gdems@sancharnet.in|Asia/Kolkata|IN
null|Hagia Sophia Public School|Mattakuzhy Varikoli .P.O. Puthencruz (Via) Ernakulam District|N/A|KL|682308|null|Jini John|0484-2734300|Principal|hagiasophiapublicschool@yahoo.co.in|Asia/Kolkata|IN
null|Hidaya Public School|Pantheerankavu Po Kozhikode Distt Kerala|N/A|KL|673019|null|Gawri A|0495 2435430|Principal|campion@md2.vsnl.net.in|Asia/Kolkata|IN
null|High Range Pub. School|Gonnukal Nethimadom Kerala|N/A|KL|686693|null|Mr. Dr Moly Mp|0485 2855181|Principal|highrange_ps@yahoo.co.in|Asia/Kolkata|IN
null|Hill Blooms School|Mananthavady P B No.24 Mananthavady P.O Wayanad Kerala|N/A|KL|670645|null|Ms Zita Jose|0493 540809|Principal|djaidas@rediffmail.com|Asia/Kolkata|IN
null|Hill Top Public School|Puthivara Calicut Kerala|N/A|KL|673004|null|A Abdurahiman|0495 355991|Principal|mohamediqbalp@hotmail.com|Asia/Kolkata|IN
null|Hindu Dharma Paripalana Yogam Eng Me|Andippillikkaru Moothakunnam Ernakulam Ernakulam Kerala|N/A|KL|683516|null|Muzuma Lenin|04862 482350|Principal|tnmsc09@giasmd01.vsnl.net.in|Asia/Kolkata|IN
null|Hira English School|Kaipamangalam Po Distt Thrissur Kerala|N/A|KL|680681|null|Mrs Preetha Kumari K|0494 629070|Principal|chinmayattm@sanchernet.in|Asia/Kolkata|IN
null|Hira Public School|Vannappuram Po Idukki Distt Kerala|N/A|KL|685582|null|Byju K N|04862 246789|Principal|tnmsc09@giasmd01.vsnl.net.in|Asia/Kolkata|IN
null|Hira Public School|Cheppanam, Panangad, P.O. Ernakulam Dist.|N/A|KL|682506|null|-|0487 2503759|Principal|nationalhuda@yahoo.co.in|Asia/Kolkata|IN
null|Hira Residential School|Mmo Campus Mukkam Po Kozhikode Distt Kerala|N/A|KL|673602|null|Saramma Koshy|0495 2297122|Principal|principal@viswadeepthi.com|Asia/Kolkata|IN
null|Holy Angels English School|Edathua Po Alleppey Dist. Kerala|N/A|KL|689573|null|Abraham Phillip|0477 212732215132|Principal|holyangelscmm@hotmail.com|Asia/Kolkata|IN
null|Holy Angels Public School|Pallipad P.O Pin-690512 Dist-Allappuzha|N/A|KL|690512|null|Kurian.V.C|04792409280|Principal|kurianvc@rediffmail.com|Asia/Kolkata|IN
null|Holy Cross Convent School|Nedumkan (West Junction) Idukki Kerala|N/A|KL|685553|null|Sr Salimma George|0486 832486|Principal|holycross_ndkm1@rediffmail.com|Asia/Kolkata|IN
null|Holy Cross Convent School Kangarapady|Vadacode P.O Kangarapady Kochi|N/A|KL|682021|null|Sr. Sheeja|04842410990|Principal|holycrosskangarapady@yahoo.co.in|Asia/Kolkata|IN
null|Holy Cross Public School|Pandithitta, Ambalanirapp P.O.|N/A|KL|691508|null|Sr.Sheeba Mathew|04752327547|Principal|rani_joseph08@yahoo.com|Asia/Kolkata|IN
null|Holy Cross Public School|Kudianmala Po Preekamala Naduvil (Via) Kannur Distt Kerala|N/A|KL|670582|null|Mr. Sr.Aniamma Jospeh|04602 218676|Principal|holycrosspubli@yahoo.com|Asia/Kolkata|IN
null|Holy Cross School- Aymanam|Aymanam P.O|N/A|KL|686015|null|Lukose P S|0481-2517471 2516788|Principal|bijucsc@rediffmail.com|Asia/Kolkata|IN
null|Holy Family Public School|Prasanth Nagar, Alaymon P.O. Ayoor|N/A|KL|691320|null|Sr. Lincy Joseph|04752273702|Principal|holyfamily.publicschool@yahoo.com|Asia/Kolkata|IN
null|Holy India Foundation School|North Paravur Ernakulam Kerala|N/A|KL|683513|null|B Anitha|0484 442785|Principal|anpal@md3.vsnl.net.in|Asia/Kolkata|IN
null|Holy Innocents Public School|Kallumalakunnu, Vennicode Post, Varkala Pin 695318|N/A|KL|695318|null|Liji Joshwa|04702601430|Principal|hipschool@gmail.com|Asia/Kolkata|IN
null|Holy Kings Public School|Holy Kings Public School Piravom.P.O. Ernakulam.Dist Kerala|N/A|KL|686664|null|Sr.Thresiamma Thomas .C|04852896401|Principal|holykingspublicschool@gmail.com|Asia/Kolkata|IN
null|Holy Mary Central School|Perungala P.O. Kakkanad Kayamkulam Alappuzha Distt Kerala|N/A|KL|690559|null|Mini T Baby|0479 444104|Principal|holy_mary@sanchernet.in|Asia/Kolkata|IN
